Unnamed: 0,mchnt_cd,mchnt_cd_id,mchnt_net_id,cen_betweenness,degree_centrality,closeness_centrality,current_flow_closeness_centrality,information_centrality,load_centrality,harmonic_centrality,approximate_current_flow_betweenness_centrality,density_factor,c_name,count,count_N,per_amt,large_amt,cv_amt,amt_d1_d2,cnt_d3_d4,sd_d5_d6,time1_cnt_w1_w2,time2_cnt_w1_w2,time_cnt_per_N2,time_cnt_per_N2_2,time_cnt_per_N2_3,time_cnt_per_N2_4,time_cnt_per_N2_5,time_cnt_per_N2_6,entropy,count_payee,sum_amt,large_cnt_per,large_amt_per,sum_amt_a,count_a,sum_large,large_max,sd_amt,mean_amt,amt_d1,amt_d2,cnt_d1,cnt_d2,amt_d3,amt_d4,cnt_d3,cnt_d4,time1_cnt_w1,time1_cnt_w2,time1_amt_w1,time1_amt_w2,time2_cnt_w1,time2_cnt_w2,time2_amt_w1,time2_amt_w2,sd_d5,sd_d6,time_amt_N2_t,time_cnt_N2_t,time_amt_N2_t2,time_cnt_N2_t2,time_amt_N2_t3,time_cnt_N2_t3,time_amt_N2_t4,time_cnt_N2_t4,time_amt_N2_t5,time_cnt_N2_t5,time_amt_N2_t6,time_cnt_N2_t6,time_amt_N2_all,time_cnt_N2_all,sum_amt_w,count_w,0,1,2,3,4,5,6,7,8,9
1,0001000F1778471,107,103,0.003300832,0.762974438,0.75145518,0.006360733,0.006360733,0.0032964970000000002,1123.5428570000001,0.002600462,6.966471042999999,消费金融,7062,1646.15384615385,1926.4125389408102,0,1.60262686898868,0.48310525261801796,0.47783026055157707,1.05462162767174,1.07603230230078,1.07603230230078,0.0120371781197623,0.0085326832241353,0.236781959469755,0.616638732287064,0.105591954898674,0.0204174920006095,10.9443256902725,3826,13604325.35,0.0,0.0,13604325.35,7062,0.0,320000.0,3005.0893,1875.1023,5945236.32,12306296.17,3136,6563,5945236.32,12306296.17,3136,6563,79,79,238494.36,238494.36,134,134,296459.69,296459.69,3169.2321,3005.0893,238494.36,79,126247.08,56,3005034.4,1554,7063452.91,4047,1576607.73,693,296459.69,134,12306296.17,6563,12306296.17,6563,-0.16301719844341278,-0.20051993429660797,-0.07382508367300034,0.1654602438211441,-0.5793222784996033,0.3255775272846222,0.25984448194503784,0.011360871605575085,-0.08793006837368011,0.11393967270851135
2,0001000F1871716,421,417,4.4800000000000004e-08,0.021688613,0.462558223,0.004949693,0.004949693,4.4800000000000004e-08,627.8761905,6.74e-05,3.510481558,消费金融,66,8.62470862470862,1400.0,0,0.0,0.33333333333333304,0.33333333333333304,,,0.0,0.0,0.0,0.33333333333333304,0.666666666666667,0.0,0.0,,6,138903.0,0.0,0.0,51800.0,37,0.0,50000.0,0.0,1400.0,2800.0,8400.0,2,6,2800.0,8400.0,2,6,0,0,0.0,0.0,0,1,0.0,1400.0,0.0,0.0,0.0,0,0.0,0,2800.0,2,5600.0,4,0.0,0,0.0,0,8400.0,6,8400.0,6,-0.0454883836209774,0.2991735339164734,0.24519042670726776,0.3195450007915497,-0.4988222122192383,0.805545449256897,0.47212105989456177,0.9955382347106934,-0.6455121040344238,-0.42488592863082886
3,0001000F1899386,1108,1073,0.0,0.0007745930000000001,0.394801223,0.000690763,0.000690763,0.0,544.2130952,0.0,1.6931471809999998,消费金融,283,0.233100233100233,2000.0,0,,0.0,0.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,,1,767090.02,0.0,0.0,2000.0,1,0.0,432660.02,,2000.0,0.0,2000.0,0,1,0.0,2000.0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,,,0.0,0,0.0,0,0.0,0,2000.0,1,0.0,0,0.0,0,2000.0,1,2000.0,1,-0.16770289838314056,-0.3103567063808441,0.023325704038143158,0.19300101697444916,-0.5556399822235107,0.24813790619373322,0.3187621533870697,-0.03261537104845047,-0.12110576778650284,0.09043850004673004
4,0001000F1993947,567,563,0.0017728429999999999,0.565453137,0.652020202,0.006342217,0.006342217,0.0017715860000000001,994.8761904999999,0.0013800639999999999,6.669382125,消费金融,3470,523.310023310023,1935.2781737193802,1,12.592808271406,0.736345358491944,0.35860655737704905,1.6696353722237098,0.5904283447911159,0.0,0.008196721311475409,0.0102459016393443,0.524590163934426,0.39754098360655704,0.0594262295081967,0.0,,422,6451422.8,0.0004,0.2302,4344699.5,2245,1000000.0,1000000.0,45216.5167,3590.6619,1290256.0,1752243.0,175,488,1290256.0,1752243.0,175,488,4,31,5670.0,42030.0,0,24,0.0,32112.0,75495.0957,45216.5167,5670.0,4,7350.0,5,391183.0,256,1308240.0,194,39800.0,29,0.0,0,1752243.0,488,1752243.0,488,-0.11945978552103043,-0.21944226324558258,-0.09171787649393082,0.24799616634845734,-0.5024634003639221,0.3215014338493347,0.39971327781677246,-0.0028876764699816704,-0.07215099036693573,0.023113712668418884
5,0001000F2004430,1350,1281,0.0,0.0007745930000000001,0.411670918,0.000690889,0.000690889,0.0,565.9630952,0.0,1.6931471809999998,消费金融,144,27.7389277389277,39.9597478991597,0,1.09797930580248,0.9011299435028249,0.58695652173913,1.06421849622088,1.97826086956522,1.97826086956522,0.326086956521739,0.0,0.0869565217391304,0.36956521739130394,0.195652173913043,0.0217391304347826,,2,8175.71,0.0,0.0,4755.21,119,0.0,1750.0,4.2248,3.8478,159.5,177.0,27,46,159.5,177.0,27,46,15,15,143.0,143.0,1,1,1.0,1.0,4.4961,4.2248,143.0,15,0.0,0,3.7,4,20.6,17,8.7,9,1.0,1,177.0,46,177.0,46,-0.2018151879310608,-0.2815130650997162,-0.10813542455434799,0.24149709939956665,-0.46043768525123596,0.26693639159202576,0.38726797699928284,-0.045082010328769684,-0.09058898687362671,0.06834926456212997
6,0001000F2050456,924,912,1.15e-05,0.360185902,0.566476525,0.006301912,0.006301912,1.1400000000000001e-05,858.0095238,0.00094731,6.223828442,消费金融,766,132.167832167832,1340.07054673721,0,0.23119932779057198,0.505747126436782,0.5353535353535349,1.04557770751563,0.810325476992144,1.82323232323232,0.0202020202020202,0.131313131313131,0.303030303030303,0.484848484848485,0.0303030303030303,0.0303030303030303,,81,964920.0,0.0,0.0,759820.0,567,0.0,100000.0,284.4452,1230.303,61600.0,121800.0,53,99,61600.0,121800.0,53,99,2,9,3150.0,11200.0,3,6,3500.0,6650.0,297.4096,284.4452,3150.0,2,16450.0,13,37100.0,30,57750.0,48,3850.0,3,3500.0,3,121800.0,99,121800.0,99,-0.19680792093276978,-0.27332404255867004,-0.022888952866196632,0.13532334566116333,-0.5070293545722961,0.3127312660217285,0.26032358407974243,-0.010601856745779514,-0.13745296001434326,0.06338563561439514
7,0001000F2065870,1018,998,7.02e-06,0.239349342,0.531713344,0.006246724,0.006246724,7.04e-06,780.7761905,0.0006533019999999999,5.821650015,消费金融,50,8.857808857808859,1050.0,0,0.0,0.22580645161290303,0.22580645161290303,,,1.2258064516129,0.0,0.0,0.161290322580645,0.6129032258064521,0.0645161290322581,0.161290322580645,,22,52500.0,0.0,0.0,39900.0,38,0.0,1050.0,0.0,1050.0,7350.0,32550.0,7,31,7350.0,32550.0,7,31,0,0,0.0,0.0,5,5,5250.0,5250.0,0.0,0.0,0.0,0,0.0,0,5250.0,5,19950.0,19,2100.0,2,5250.0,5,32550.0,31,32550.0,31,-0.15640488266944885,-0.18908332288265228,-0.052266452461481094,0.2788831889629364,-0.4161745011806488,0.3473944664001465,0.46726542711257935,0.005632322281599045,-0.14689749479293823,0.11374018341302872
8,0001000F2132798,1180,1139,1.91e-07,0.05809450000000001,0.476383764,0.005776215,0.005776215,1.9e-07,656.2261905,0.000173525,4.442600689,消费金融,473,52.9137529137529,2419.77753303965,0,0.7059951887790961,0.512515407452171,0.5576923076923079,0.620598058472949,,2.69230769230769,0.0,0.0192307692307692,0.42307692307692296,0.46153846153846206,0.0384615384615385,0.0576923076923077,,35,1710233.75,0.0,0.0,549289.5,227,0.0,499740.0,1415.405,2004.8365,53430.5,104251.5,29,52,53430.5,104251.5,29,52,0,0,0.0,0.0,3,3,5500.0,5500.0,878.3976,1415.405,0.0,0,1237.5,1,41531.5,22,52957.5,24,3025.0,2,5500.0,3,104251.5,52,104251.5,52,-0.11970750242471695,-0.3275405168533325,-0.17408974468708038,0.2975521981716156,-0.4484400451183319,0.2521151006221771,0.44218143820762634,-0.02615347132086754,-0.14602458477020264,0.026589227840304375
9,0001000F2144939,575,571,0.000128916,0.565453137,0.651691065,0.006342202,0.006342202,0.000128496,995.1595238,0.001409262,6.66916275,消费金融,1657,385.547785547786,1237.1217654171699,0,0.159520671618302,0.592326649543298,0.586769759450172,1.0613635155719499,,,0.0,0.0,0.445876288659794,0.54553264604811,0.00859106529209622,0.0,,979,2047256.4,0.0,0.0,2046199.4,1654,0.0,2100.0,202.8063,1271.3479,876554.0,1479849.0,683,1164,876554.0,1479849.0,683,1164,0,0,0.0,0.0,0,0,0.0,0.0,215.2512,202.8063,0.0,0,0.0,0,678762.0,519,788841.2,635,12245.8,10,0.0,0,1479849.0,1164,1479849.0,1164,-0.20553140342235565,-0.11958315968513489,-0.10247182101011276,0.2363610416650772,-0.545463502407074,0.2465185672044754,0.3320663273334503,-0.11008813232183456,-0.03390460088849068,0.008850667625665665
10,0001000F2149197,1131,1092,0.001549187,0.00232378,0.16450051,0.00020512,0.00020512,0.001549187,216.18095240000002,4.639999999999999e-16,1.805354145,P2P网贷,377,87.41258741258741,2475.05733333333,9,1.27517099464363,0.0,0.0,,,2.7372262773722595,0.0,0.0,0.0,0.0,0.9927007299270071,0.0072992700729927,,136,928148.0,0.024,0.2572,928146.5,375,238762.0,34048.0,6269.0245,4916.2226,0.0,673522.5,0,137,0.0,673522.5,0,137,0,0,0.0,0.0,1,1,1582.0,1582.0,,6269.0245,0.0,0,0.0,0,0.0,0,0.0,0,671940.5,136,1582.0,1,673522.5,137,673522.5,137,-0.15047085285186768,-0.24127985537052155,-0.0386936217546463,0.11175673454999924,-0.551209568977356,0.2854404151439667,0.28762808442115784,-0.08130407333374023,-0.1057838723063469,0.06456739455461502
